BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,578.20000000000,1.3000000000,13.00000000,1.16000000,1334.88600000,4.20000000,Msini,0.210000,,,0,K5 III,4296.00,17.300000,0.800000,-0.4600,[Fe/H],1.990000,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51000000,9.3670000,6.1690000,8.9161300
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.68550000000,0.2410000000,2.57807000,0.23000000,22.24810000,0.07000000,Mass,0.000000,,546.00,0,G,5766.00,1.080000,1.670000,-0.1500,[Fe/H],4.500000,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.46100000,10.8490000,9.3680000,10.8644000
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,307.88000000000,0.8300000000,13.60000000,1.21000000,432.24663352,1.36000000,Msini,0.120000,,,0,K1,5004.00,0.813064,0.810000,-0.0900,[Fe/H],4.220000,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.62200000,9.6700000,7.5570000,9.4126600
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,392.60000000000,1.0000000000,13.90000000,1.24000000,289.22530000,0.91000000,Msini,0.200000,,,0,K0 III,4414.00,11.000000,0.740000,-0.2000,[Fe/H],2.240000,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.49300000,9.1390000,5.9040000,8.6556900
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,0,733.00000000000,1.7000000000,13.50000000,1.20000000,540.31100000,1.70000000,Msini,0.760000,,,0,K3 III,4534.00,10.330000,1.090000,-0.1300,[Fe/H],2.480000,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.58900000,8.6900000,5.6450000,8.2644900
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,2590.00000000000,4.2000000000,13.50000000,1.21000000,508.50000000,1.60000000,Msini,0.350000,,,0,K0,4943.00,7.600000,1.520000,-0.1900,[Fe/H],2.850000,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.04200000,9.3810000,6.5710000,9.0285100
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,265.59000000000,0.7800000000,14.00000000,1.25000000,228.83645304,0.72000000,Msini,0.270000,,,0,K3,5012.00,0.896193,0.909000,0.1800,[Fe/H],4.090000,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.56970000,9.3800000,7.3310000,9.1530500
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,,1662.0000000000,14.68376472,1.31000000,4767.42610500,15.00000000,Mass,,,1303.00,0,K0,4993.00,0.797000,1.000000,,,4.553900,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.95430000,9.3740000,7.2880000,9.1743900
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,1198.48000000000,2.0600000000,12.40000000,1.11000000,3305.41543280,10.40000000,Mass,0.880000,,,0,K0,5000.00,0.804724,0.816000,-0.0900,[Fe/H],4.200000,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.04730000,8.9600000,6.7800000,8.7050000
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,1,3.87280000000,0.0428000000,2.85000000,0.25400000,8.50000000,0.02700000,Msini,0.000000,,,0,K7/M0 V,4324.00,0.686355,0.700000,-0.1400,[Fe/H],4.740000,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.26950000,9.7000000,6.3050000,9.1067700
